	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
25	114.081320,22.532276	福星路21号福民楼DEF1-2层	福田区	深圳市	B02F37UFUI	[]	沃尔玛(深圳福星店)	广东省	0755-83752884;0755-83752880;0755-83752894	购物服务;超级市场;沃尔玛	060402	114.081320	22.532276	沃尔玛
26	117.192964,39.131818	福安大街66号万达商业广场B1、2-3层	和平区	天津市	B00160DGME	[]	沃尔玛(天津和平路店)	天津市	022-58292955	购物服务;超级市场;沃尔玛	060402	117.192964	39.131818	沃尔玛
27	106.710587,26.570242	遵义路9号筑城广场B1层	南明区	贵阳市	B035302FWA	[]	沃尔玛(贵阳人民广场店)	贵州省	0851-85878009	购物服务;超级市场;沃尔玛	060402	106.710587	26.570242	沃尔玛
28	113.923993,22.503635	南海大道和东滨路交叉口	南山区	深圳市	B02F37UH9K	[]	沃尔玛(深圳蛇口店)	广东省	0755-26816712;0755-26816711	购物服务;超级市场;沃尔玛	060402	113.923993	22.503635	沃尔玛
29	121.517956,31.203389	临沂北路252-262号(靠近浦建路)	浦东新区	上海市	B001518723	[]	沃尔玛(上海南浦大桥店)	上海市	021-50945882;021-50945881	购物服务;超级市场;沃尔玛	060402	121.517956	31.203389	沃尔玛
30	113.983621,22.535249	华侨城中旅广场	南山区	深圳市	B02F37UH9H	[]	沃尔玛(深圳华侨城店)	广东省	0755-26941190;0755-26941191	购物服务;超级市场;沃尔玛	060402	113.983621	22.535249	沃尔玛
31	120.135984,30.265178	曙光路128号黄龙广场1-3层	西湖区	杭州市	B023B14BRH	[]	沃尔玛(黄龙店)	浙江省	0571-87977017	购物服务;超级市场;沃尔玛	060402	120.135984	30.265178	沃尔玛
32	114.135484,22.548452	凤凰路12号中山花园裙楼1-3层	罗湖区	深圳市	B02F37VGBL	[]	沃尔玛(深圳中山店)	广东省	0755-82305080;0755-82140686;0755-25160986	购物服务;超级市场;沃尔玛	060402	114.135484	22.548452	沃尔玛
33	102.730123,25.013305	春城路289号(国贸中心北侧)	官渡区	昆明市	B036709JTW	[]	沃尔玛(昆明国贸中心店)	云南省	0871-63573470;0871-63573471	购物服务;超级市场;沃尔玛	060402	102.730123	25.013305	沃尔玛
34	120.178314,30.3079	香积寺东路58号天驰综合大楼1-3层	下城区	杭州市	B023B09JDK	[]	沃尔玛(杭州东新店)	浙江省	0571-85835900;0571-85835800	购物服务;超级市场;沃尔玛	060402	120.178314	30.3079	沃尔玛
35	112.975652,28.191253	黄兴南路443号悦荟广场2-3层	天心区	长沙市	B02DB049F8	[]	沃尔玛(长沙黄兴南路店)	湖南省	0731-84884001;0731-84884088	购物服务;超级市场;沃尔玛	060402	112.975652	28.191253	沃尔玛
36	114.031756,22.554073	香梅北路2001号	福田区	深圳市	B02F37TL68	[]	沃尔玛(深圳景田店)	广东省	0755-83931080;0755-83931250	购物服务;超级市场;沃尔玛	060402	114.031756	22.554073	沃尔玛
37	106.541884,29.580222	北城天街33号东和城B1层	江北区	重庆市	B001783S06	[]	沃尔玛(北城天街店)	重庆市	023-67854909	购物服务;超级市场;沃尔玛	060402	106.541884	29.580222	沃尔玛
38	118.573812,24.917756	江滨北路凯德广场2-3层	丰泽区	泉州市	B025302DF5	[]	沃尔玛(泉州江滨北路店)	福建省	0595-22131116;0595-22131118	购物服务;超级市场;沃尔玛	060402	118.573812	24.917756	沃尔玛
39	119.150456,36.714566	东风东街7819号凯德广场2层	奎文区	潍坊市	B021803FD2	[]	沃尔玛(潍坊东风东街店)	山东省	0536-2258288;0536-2258258	购物服务;超级市场;沃尔玛	060402	119.150456	36.714566	沃尔玛
40	118.053136,36.823329	柳泉路67号凯德广场2-3层	张店区	淄博市	B0215046C4	[]	沃尔玛(淄博柳泉路店)	山东省	0533-6073000;0533-6073037	购物服务;超级市场;沃尔玛	060402	118.053136	36.823329	沃尔玛
41	119.309400,26.087379	东大路花开富贵18号	鼓楼区	福州市	B024F0067B	[]	沃尔玛(花开富贵店)	福建省	0591-28358169	购物服务;超级市场;沃尔玛	060402	119.309400	26.087379	沃尔玛
42	113.862385,22.581768	宝安大道与金海路交界处金港华庭1-3层	宝安区	深圳市	B02F37WG6Y	[]	沃尔玛(宝安金海路店)	广东省	0755-29411657;0755-29419801;0755-29411627	购物服务;超级市场;沃尔玛	060402	113.862385	22.581768	沃尔玛
43	121.431384,31.136794	老沪闵路809号凌云商业中心	徐汇区	上海市	B00156E0XR	[]	沃尔玛(凌云店)	上海市	021-34683052;021-34683073	购物服务;超级市场;沃尔玛	060402	121.431384	31.136794	沃尔玛
44	114.103768,22.558763	八卦二路1号旭飞花园B栋1-2层	福田区	深圳市	B02F38IRF5	[]	沃尔玛(深圳红岭店)	广东省	0755-82496558	购物服务;超级市场;沃尔玛	060402	114.103768	22.558763	沃尔玛
45	104.060510,30.633093	一环路南三段22号世纪商业广场B1层	武侯区	成都市	B001C8OFQS	[]	沃尔玛(玉林店)	四川省	028-66073515	购物服务;超级市场;沃尔玛	060402	104.060510	30.633093	沃尔玛
46	121.416864,31.171099	桂林路402号	徐汇区	上海市	B00155H6SU	[]	沃尔玛(上海田林店)	上海市	021-64758148	购物服务;超级市场;沃尔玛	060402	121.416864	31.171099	沃尔玛
47	111.027129,35.033350	河东东街与学苑路交叉口新象城地上第2-3层	盐湖区	运城市	B01670M1QX	[]	沃尔玛(运城河东东街店)	山西省	0359-6367155;0359-6367166	购物服务;超级市场;沃尔玛	060402	111.027129	35.033350	沃尔玛
48	114.119319,22.537626	人民南路2008号深圳嘉里中心B1层	罗湖区	深圳市	B02F37VG46	[]	沃尔玛(深圳嘉里中心店)	广东省	0755-82361440;0755-82361475	购物服务;超级市场;沃尔玛	060402	114.119319	22.537626	沃尔玛
49	114.269242,22.729511	龙平东路203号东方瑞景苑2-3层	龙岗区	深圳市	B02F37VKK4	[]	沃尔玛(龙岗龙平东路店)	广东省	0755-89618900;0755-89901103;0755-89900042	购物服务;超级市场;沃尔玛	060402	114.269242	22.729511	沃尔玛
50	120.663830,28.008310	大南路鸿锳大厦1-3层	鹿城区	温州市	B02410WJLG	[]	沃尔玛(鸿鍈店)	浙江省	0577-88255655	购物服务;超级市场;沃尔玛	060402	120.663830	28.008310	沃尔玛
51	120.191891,30.240075	近江路1号(近江电影大世界旁)	上城区	杭州市	B023B14FDZ	[]	沃尔玛(杭州近江店)	浙江省	0571-86531030	购物服务;超级市场;沃尔玛	060402	120.191891	30.240075	沃尔玛
52	116.408857,39.997901	安立路68号飘亮阳光广场B1层	朝阳区	北京市	B000A8W48F	[]	沃尔玛(北京阳光店)	北京市	010-64950288;010-64953518	购物服务;超级市场;沃尔玛	060402	116.408857	39.997901	沃尔玛
53	110.299967,25.305146	中山北路597号广运美居商贸城2-3层	叠彩区	桂林市	B030509379	[]	沃尔玛(桂林中山北路店)	广西壮族自治区	0773-2673005;0773-2673015;4008301366	购物服务;超级市场;沃尔玛	060402	110.299967	25.305146	沃尔玛
54	117.223094,39.137965	华昌道70号嘉华国际商业中心C区1-3层	河东区	天津市	B00160DGMF	[]	沃尔玛(嘉华国际商业中心东区)	天津市	022-24332589;022-24332599	购物服务;超级市场;沃尔玛	060402	117.223094	39.137965	沃尔玛
55	119.297925,26.086056	东街口杨桥东路8号东方百货B1层	鼓楼区	福州市	B024F0U8LG	[]	沃尔玛(东街店)	福建省	0591-88308031;0591-28358670	购物服务;超级市场;沃尔玛	060402	119.297925	26.086056	沃尔玛
56	114.410349,30.478386	关山大道519号光谷天地2-3层	洪山区	武汉市	B001B16P03	[]	沃尔玛(武汉光谷店)	湖北省	027-86643497;027-86643496	购物服务;超级市场;沃尔玛	060402	114.410349	30.478386	沃尔玛
57	113.107630,23.011142	季华五路12号	禅城区	佛山市	B02F50UVQF	[]	沃尔玛(季华园分店)	广东省	0757-83999683	购物服务;超级市场;沃尔玛	060402	113.107630	23.011142	沃尔玛
58	113.894819,22.579086	前进一路282号沃尔玛广场1-3层	宝安区	深圳市	B02F37UGQC	[]	沃尔玛(深圳西乡前进路店)	广东省	0755-27670562;0755-27670561	购物服务;超级市场;沃尔玛	060402	113.894819	22.579086	沃尔玛
59	103.979702,30.722188	汇川路288号中海国际购物公园B1-1层	金牛区	成都市	B001C8MVL4	[]	沃尔玛(成都羊西线蜀西路店)	四川省	028-62019555;028-62019550	购物服务;超级市场;沃尔玛	060402	103.979702	30.722188	沃尔玛
60	114.129449,22.571507	翠竹路旭飞华达园1层	罗湖区	深圳市	B02F38IQ47	[]	沃尔玛(深圳翠竹店)	广东省	0755-25657287;0755-25657764	购物服务;超级市场;沃尔玛	060402	114.129449	22.571507	沃尔玛
61	102.671577,25.038288	西郊明波土堆村50号云善时尚广场2-3层	西山区	昆明市	B03670W80I	[]	沃尔玛(昆明云山路店)	云南省	0871-68233428;0871-68233400	购物服务;超级市场;沃尔玛	060402	102.671577	25.038288	沃尔玛
62	113.551164,22.232384	岭南路68号摩尔广场B1层	香洲区	珠海市	B02F40OSST	[]	沃尔玛(珠海迎宾南路店)	广东省	0756-8305925;0756-8305926	购物服务;超级市场;沃尔玛	060402	113.551164	22.232384	沃尔玛
63	114.025918,22.628746	民治街道人民南路水榭春天3期B1层	龙华区	深圳市	B02F38JJDX	[]	沃尔玛(深圳龙华人民南路店)	广东省	0755-23319099;0755-23319001;0755-23319100	购物服务;超级市场;沃尔玛	060402	114.025918	22.628746	沃尔玛
64	116.375021,39.893271	宣武门外大街32号富卓花园广场B1-1层	西城区	北京市	B000AAEQER	[]	沃尔玛(北京宣武门店)	北京市	010-63168905;010-63168906;010-63168918	购物服务;超级市场;沃尔玛	060402	116.375021	39.893271	沃尔玛
65	113.526271,22.255050	翠微西路188号	香洲区	珠海市	B02F40Q2YW	[]	沃尔玛(前山店)	广东省	0756-8995555	购物服务;超级市场;沃尔玛	060402	113.526271	22.255050	沃尔玛
66	113.817218,22.732241	沙井街道新沙路西荟城购物广场B1-B2层	宝安区	深圳市	B02F38VUC9	[]	沃尔玛(沙井新沙路店)	广东省	0755-89498441;0755-89498458	购物服务;超级市场;沃尔玛	060402	113.817218	22.732241	沃尔玛
67	114.248456,22.724688	龙岗中心城5区建设路28号宝钜商业大厦	龙岗区	深圳市	B02F38SPBW	[]	沃尔玛(龙岗建设路店)	广东省	0755-28323525	购物服务;超级市场;沃尔玛	060402	114.248456	22.724688	沃尔玛
68	106.457122,29.533607	凤天大道凤天路29号易城国际广场B1层	沙坪坝区	重庆市	B001786PAF	[]	沃尔玛(重庆凤天店)	重庆市	023-65481218	购物服务;超级市场;沃尔玛	060402	106.457122	29.533607	沃尔玛
69	108.946003,34.329107	未央路150号世纪金花北区F2层	未央区	西安市	B001D09HLB	[]	沃尔玛(世纪金花北区)	陕西省	029-86199978	购物服务;超级市场;沃尔玛	060402	108.946003	34.329107	沃尔玛
70	119.263385,26.076729	杨桥西路128号	鼓楼区	福州市	B024F059UR	[]	沃尔玛(福州山姆会员商店)	福建省	0591-83775621;0591-83775620	购物服务;超级市场;沃尔玛	060402	119.263385	26.076729	沃尔玛
71	118.126816,24.500934	嘉禾路468号SM CITY福建厦门B1层	湖里区	厦门市	B025003SUR	[]	沃尔玛(SM城市广场)	福建省	0592-5569503;0592-5511682	购物服务;超级市场;沃尔玛	060402	118.126816	24.500934	沃尔玛
72	108.962814,34.243326	雁塔北路8号万达广场万达百货	碑林区	西安市	B001D092DB	[]	沃尔玛(西安雁塔路店)	陕西省	029-85563019;029-85563011;029-85563010	购物服务;超级市场;沃尔玛	060402	108.962814	34.243326	沃尔玛
73	116.264992,40.222151	昌崔路203号菓岭假日广场1-3层	昌平区	北京市	B000A81JGI	[]	沃尔玛(北京昌平东关店)	北京市	010-80125933;010-80125966	购物服务;超级市场;沃尔玛	060402	116.264992	40.222151	沃尔玛
74	115.904782,28.676352	八一大道333号万达广场2-3层	东湖区	南昌市	B031704Q9H	[]	沃尔玛(南昌八一广场店)	江西省	[]	购物服务;超级市场;沃尔玛	060402	115.904782	28.676352	沃尔玛
75	112.568824,37.882550	三墙路盛世华庭A座2-3层	杏花岭区	太原市	B015F0HUQ6	[]	沃尔玛(太原三墙路店)	山西省	0351-5656555;0351-5656766	购物服务;超级市场;沃尔玛	060402	112.568824	37.882550	沃尔玛
76	113.140431,23.032982	桂城南海大道北75号深国投商业中心B1层	南海区	佛山市	B02F506SM7	[]	沃尔玛(佛山桂城店)	广东省	0757-81212199;0757-81212100	购物服务;超级市场;沃尔玛	060402	113.140431	23.032982	沃尔玛
77	114.416957,23.068651	演达大道11号港惠新天地北区F2层	惠城区	惠州市	B02F002IWS	[]	沃尔玛(港惠新天地北区)	广东省	0752-2586919	购物服务;超级市场;沃尔玛	060402	114.416957	23.068651	沃尔玛
78	120.355198,36.082417	台东三路63号台东万达广场2-3层	市北区	青岛市	B021403J87	[]	沃尔玛(青岛台东店)	山东省	0532-83675568;0532-83675600	购物服务;超级市场;沃尔玛	060402	120.355198	36.082417	沃尔玛
79	119.540550,26.655067	天湖东路8-8号东方伟业广场2-3层	蕉城区	宁德市	B0251030W0	[]	沃尔玛(宁德天湖东路店)	福建省	0593-2735366	购物服务;超级市场;沃尔玛	060402	119.540550	26.655067	沃尔玛
80	114.207048,30.559160	王家湾龙阳大道特6号武汉摩尔城B1层	汉阳区	武汉市	B001B0JPDD	[]	沃尔玛(武汉摩尔城)	湖北省	027-84459818;027-84459817	购物服务;超级市场;沃尔玛|金融保险服务;银行相关;银行相关	060402|160200	114.207048	30.559160	沃尔玛
81	119.314322,26.068069	台江五一中路169号大利嘉城B区1-3层	台江区	福州市	B024F055GN	[]	沃尔玛(福州大利嘉店)	福建省	0591-83348887;0591-83348696	购物服务;超级市场;沃尔玛	060402	119.314322	26.068069	沃尔玛
82	114.011963,22.544692	农林路与侨香路交汇处深国投广场1-2层	福田区	深圳市	B02F37VFG7	[]	沃尔玛(山姆会员商店)	广东省	0755-82700017;0755-82700018	购物服务;超级市场;沃尔玛	060402	114.011963	22.544692	沃尔玛
83	113.745402,23.014538	鸿福路90号凯德广场2-3层	东莞市	东莞市	B03017U5G0	[]	沃尔玛(东莞鸿福路店)	广东省	0769-23661300;0769-23661310	购物服务;超级市场;沃尔玛	060402	113.745402	23.014538	沃尔玛
84	113.121604,23.011343	季华五路36号佛山印象城购物广场第2-4层	禅城区	佛山市	B02F506SGV	[]	沃尔玛(印象城东区)	广东省	0757-82365839;0757-82365838	购物服务;超级市场;沃尔玛	060402	113.121604	23.011343	沃尔玛
85	113.766436,23.039770	东纵路3号东湖花园1层	东莞市	东莞市	B03017ULA7	[]	沃尔玛(东湖花园商城)	广东省	0769-22343112	购物服务;超级市场;沃尔玛	060402	113.766436	23.039770	沃尔玛
86	102.739815,25.092023	北京路1127号中汇商业中心F2层	盘龙区	昆明市	B036707UKL	[]	沃尔玛(中汇商业中心)	云南省	0871-65813407;0871-65817762	购物服务;超级市场;沃尔玛	060402	102.739815	25.092023	沃尔玛
87	110.942646,21.660813	西粤中路8号凯德广场2-3层	茂南区	茂名市	B029C02AUT	[]	沃尔玛(茂名文化广场店)	广东省	0668-2793000;0668-2793100	购物服务;超级市场;沃尔玛	060402	110.942646	21.660813	沃尔玛
88	119.273490,26.035603	浦上大道276号仓山万达广场1区3号楼B1层	仓山区	福州市	B024F0U2HG	[]	沃尔玛(万达广场)	福建省	0591-86392598	购物服务;超级市场;沃尔玛	060402	119.273490	26.035603	沃尔玛
89	106.497718,29.582904	龙山大道111号	渝北区	重庆市	B001786MQ6	[]	沃尔玛(冉家坝店)	重庆市	023-67792276;023-67792277	购物服务;超级市场;沃尔玛	060402	106.497718	29.582904	沃尔玛
90	114.343373,30.588321	徐东大街18号销品茂B1层	武昌区	武汉市	B001B0IFSQ	[]	沃尔玛(销品茂)	湖北省	027-68898652;027-68898651	购物服务;超级市场;沃尔玛	060402	114.343373	30.588321	沃尔玛
91	116.726263,39.528510	爱民东道111新朝阳购物中心1-2层	广阳区	廊坊市	B013C01OF6	[]	沃尔玛(廊坊朝阳店)	河北省	0316-5219166;0316-5219165;0316-5219188	购物服务;超级市场;沃尔玛	060402	116.726263	39.528510	沃尔玛
92	117.193996,34.250685	解放南路与和平路交叉口正翔商业广场2-3层	云龙区	徐州市	B020403T20	[]	沃尔玛(徐州解放路店)	江苏省	0516-83336688;0516-83336612;0516-83336638	购物服务;超级市场;沃尔玛	060402	117.193996	34.250685	沃尔玛
93	118.367698,31.339122	中山北路97号凯德广场2层	镜湖区	芜湖市	B022900TZX	[]	沃尔玛(中山北路分店)	安徽省	0553-5991608;0553-5991618	购物服务;超级市场;沃尔玛	060402	118.367698	31.339122	沃尔玛
94	114.120134,22.558902	洪湖路湖景花园1-3层	罗湖区	深圳市	B02F37U1IR	[]	沃尔玛(深圳洪湖店)	广东省	0755-25629815	购物服务;超级市场;沃尔玛	060402	114.120134	22.558902	沃尔玛
95	104.642341,28.756418	酒都路中段55号凯德广场2层	翠屏区	宜宾市	B033F01HD2	[]	沃尔玛(宜宾酒都路店)	四川省	0831-2312599;0831-2312590	购物服务;超级市场;沃尔玛	060402	104.642341	28.756418	沃尔玛
96	118.113648,24.467346	厦禾路878-888号禹洲世贸商城B2层	思明区	厦门市	B025003NU3	[]	沃尔玛(禹洲世贸商城)	福建省	0592-5827028;0592-5827029	购物服务;超级市场;沃尔玛	060402	118.113648	24.467346	沃尔玛
97	113.752203,23.041411	凤来路和向阳路交汇处西城楼大街北区4号楼	东莞市	东莞市	B03017V3ZQ	[]	沃尔玛(莞城凤来路店)	广东省	0769-23321980;0769-23321968	购物服务;超级市场;沃尔玛	060402	113.752203	23.041411	沃尔玛
98	114.291127,30.577786	民生路176号万达广场B座2-3层	江汉区	武汉市	B001B09J06	[]	沃尔玛(武汉中山大道店)	湖北省	027-82759899;027-82759896	购物服务;超级市场;沃尔玛	060402	114.291127	30.577786	沃尔玛
99	102.656445,25.039064	兴苑路525号腾辉商业广场2-3层	西山区	昆明市	B03670890A	[]	沃尔玛(昆明兴苑路店)	云南省	0871-68228500;0871-68228182	购物服务;超级市场;沃尔玛	060402	102.656445	25.039064	沃尔玛
100	119.319639,26.076929	六一北路615号长城广场1-3层	鼓楼区	福州市	B024F05ET3	[]	沃尔玛(福州长城店)	福建省	0591-83367615;0591-83367820	购物服务;超级市场;沃尔玛	060402	119.319639	26.076929	沃尔玛
101	102.732048,25.043430	环城东路188号	盘龙区	昆明市	B036707I8H	[]	沃尔玛(昆明集大店)	云南省	0871-63397405;0871-63397403	购物服务;超级市场;沃尔玛	060402	102.732048	25.043430	沃尔玛
102	106.480559,29.476311	松青路1029号春光购物广场B1层	大渡口区	重庆市	B001784UTM	[]	沃尔玛(大渡口店)	重庆市	023-68156501;023-68156500	购物服务;超级市场;沃尔玛	060402	106.480559	29.476311	沃尔玛
103	113.488172,22.552367	火炬开发区东镇东一路123号太阳城广场益华百货B1层	中山市	中山市	B02F8035DJ	[]	沃尔玛(中山港义路店)	广东省	0760-89927886;0760-89927885	购物服务;超级市场;沃尔玛	060402	113.488172	22.552367	沃尔玛
104	121.234624,31.005304	松汇中路568号鹿都国际购物广场F3层	松江区	上海市	B00155Q8SA	[]	沃尔玛(中山中路店)	上海市	021-57813569;021-57811498	购物服务;超级市场;沃尔玛	060402	121.234624	31.005304	沃尔玛
105	117.208806,31.790798	翡翠路和芙蓉路交叉口港澳广场2-3层	蜀山区	合肥市	B022715MNH	[]	沃尔玛(翡翠路店)	安徽省	0551-63802909;0551-63802900	购物服务;超级市场;沃尔玛	060402	117.208806	31.790798	沃尔玛
106	113.270040,22.834358	大良街道东乐路新一城购物广场B1层	顺德区	佛山市	B02F508LAO	[]	沃尔玛(顺德东乐路店)	广东省	0757-28093800;0757-28093939	购物服务;超级市场;沃尔玛	060402	113.270040	22.834358	沃尔玛
107	120.640462,31.168293	松陵镇江兴西路469号正翔商业广场F2层	吴江区	苏州市	B02000K69N	[]	沃尔玛(正翔商业广场)	江苏省	0512-63929256;0512-63929226	购物服务;超级市场;沃尔玛	060402	120.640462	31.168293	沃尔玛
108	104.741827,31.463661	临园路东段74之3-4号凯德广场	涪城区	绵阳市	B033001UYI	[]	沃尔玛(绵阳市临园路店)	四川省	0816-2315066	购物服务;超级市场;沃尔玛	060402	104.741827	31.463661	沃尔玛
109	113.389515,22.928067	东兴路476号	番禺区	广州市	B00140HGYQ	[]	沃尔玛(番禺店)	广东省	020-84628443	购物服务;超级市场;沃尔玛	060402	113.389515	22.928067	沃尔玛
110	116.505946,31.750578	新都会环球购物广场B1层(梅山路与皖西路交叉口)	金安区	六安市	B02340T4W2	[]	沃尔玛(六安梅山路店)	安徽省	0564-3351867;0564-3351827	购物服务;超级市场;沃尔玛	060402	116.505946	31.750578	沃尔玛
111	121.503474,31.178993	齐河路258号	浦东新区	上海市	B00156E51F	[]	沃尔玛(上南店)	上海市	021-58749046	购物服务;超级市场;沃尔玛	060402	121.503474	31.178993	沃尔玛
112	120.678054,28.001048	民航路6号体育中心体育馆1层	鹿城区	温州市	B02410WHRR	[]	沃尔玛(温州东海店)	浙江省	0577-88331100	购物服务;超级市场;沃尔玛	060402	120.678054	28.001048	沃尔玛
113	114.469708,22.793880	淡水镇南门北路新一城3层	惠阳区	惠州市	B02F002JRQ	[]	沃尔玛(惠州崇雅店)	广东省	0752-3816571;0752-3816570	购物服务;超级市场;沃尔玛	060402	114.469708	22.793880	沃尔玛
114	118.789024,32.016281	长乐路132号	秦淮区	南京市	B00190ZA6Y	[]	沃尔玛(南京秦淮店)	江苏省	025-52316728	购物服务;超级市场;沃尔玛	060402	118.789024	32.016281	沃尔玛
115	102.733688,25.045014	人民东路63号喜相逢商城	盘龙区	昆明市	B036704UP3	[]	沃尔玛(喜相逢店)	云南省	0871-63377190	购物服务;超级市场;沃尔玛	060402	102.733688	25.045014	沃尔玛
